DGX, 65.53%
DHI, 53.51%
DHI, 52.10%
DHI, 56.91%
DHI, 60.72%
DHR, 55.71%
DHR, 49.90%
DHR, 56.71%
DHR, 64.93%
DIS, 48.50%
DIS, 54.31%
DIS, 66.33%
DIS, 66.73%
DISCA, 56.31%
DISCA, 52.51%
DISCA, 70.34%
DISCA, 69.54%
DISCK, 59.12%
DISCK, 56.91%
DISCK, 66.33%
DISCK, 70.54%
DISH, 51.30%
DISH, 52.91%
DISH, 65.53%
DISH, 61.32%
DLR, 56.51%
DLR, 60.92%
DLR, 62.93%
DLR, 70.54%
DLTR, 53.71%
DLTR, 55.51%
DLTR, 70.54%
DLTR, 68.34%
DOV, 53.91%
DOV, 49.10%
DOV, 63.53%
DOV, 59.92%
DPS, 51.10%
DPS, 54.11%
DPS, 58.72%
DPS, 64.73%
DRE, 56.51%
DRE, 55.11%
DRE, 69.94%
DRE, 67.33%
DRI, 58.12%
DRI, 50.10%
DRI, 55.91%
DRI, 61.92%
DTE, 55.51%
DTE, 61.12%
DTE, 54.51%
DTE, 67.54%
DUK, 55.91%
DUK, 59.72%
DUK, 58.12%
DUK, 71.94%
DVA, 54.11%
DVA, 59.12%
DVA, 60.72%
DVA, 69.34%
DVN, 54.31%
DVN, 55.11%
DVN, 62.12%
DVN, 53.31%
DWDP, 48.30%
DWDP, 51.30%
DWDP, 68.34%
DWDP, 66.33%
DXC, 54.71%
DXC, 52.30%
DXC, 55.51%
DXC, 57.11%
EA, 53.51%
EA, 56.71%
EA, 64.93%
EA, 59.32%
EBAY, 53.11%
EBAY, 54.31%
EBAY, 57.72%
EBAY, 62.53%
ECL, 56.11%
ECL, 53.51%
ECL, 67.33%
ECL, 70.14%
ED, 50.70%
ED, 56.91%
ED, 70.34%
ED, 60.72%
EFX, 52.91%
EFX, 48.30%
EFX, 59.52%
EFX, 52.10%
EIX, 54.51%
EIX, 57.11%
EIX, 70.94%
EIX, 69.34%
EL, 53.91%
EL, 53.31%
EL, 57.31%
EL, 58.92%
EMN, 54.31%
EMN, 53.91%
EMN, 64.73%
EMN, 66.13%
EMR, 53.51%
EMR, 57.11%
EMR, 66.73%
EMR, 60.52%
EOG, 56.91%
EOG, 56.51%
EOG, 61.92%
EOG, 62.53%
EQIX, 54.31%
EQIX, 51.10%
EQIX, 65.13%
EQIX, 61.92%
EQR, 52.71%
EQR, 57.72%
EQR, 60.52%
EQR, 63.53%
EQT, 58.12%
EQT, 56.91%
EQT, 68.14%
EQT, 68.54%
ES, 57.11%
ES, 58.72%
ES, 67.13%
ES, 69.74%
ESRX, 58.32%
ESRX, 59.12%
ESRX, 70.94%
ESRX, 61.12%
ESS, 54.31%
ESS, 58.92%
ESS, 74.75%
ESS, 72.95%
ETFC, 53.71%
ETFC, 55.51%
ETFC, 55.71%
ETFC, 55.51%
ETN, 53.91%
ETN, 53.11%
ETN, 60.52%
ETN, 68.14%
ETR, 54.31%
ETR, 50.70%
ETR, 74.35%
ETR, 73.95%
EVHC, 50.70%
EVHC, 53.51%
EVHC, 66.93%
EVHC, 62.53%
EW, 52.91%
EW, 53.51%
EW, 59.72%
EW, 61.52%
EXC, 53.91%
EXC, 55.31%
EXC, 74.35%
EXC, 72.34%
EXPD, 47.90%
EXPD, 51.30%
EXPD, 60.12%
EXPD, 63.13%
EXPE, 58.12%
EXPE, 56.71%
EXPE, 67.33%
EXPE, 66.73%
EXR, 52.91%
EXR, 60.52%
EXR, 68.34%
EXR, 71.54%
F, 54.11%
F, 54.71%
F, 64.13%
F, 62.93%
FAST, 52.71%
FAST, 56.11%
FAST, 68.94%
FAST, 65.13%
FB, 53.51%
FB, 54.51%
FB, 56.71%
FB, 66.33%
FBHS, 55.31%
FBHS, 56.11%
FBHS, 67.33%
FBHS, 72.14%
FCX, 56.51%
FCX, 54.51%
FCX, 61.72%
FCX, 66.73%
FDX, 55.51%
FDX, 55.71%
FDX, 56.51%
FDX, 62.12%
FE, 56.91%
FE, 58.32%
FE, 71.14%
FE, 74.95%
FFIV, 49.30%
FFIV, 57.11%
FFIV, 68.94%
FFIV, 65.33%
FIS, 53.91%
FIS, 48.90%
FIS, 61.92%
FIS, 55.51%
FISV, 52.71%
FISV, 48.70%
FISV, 55.51%
FISV, 55.71%
FITB, 52.51%
FITB, 52.10%
FITB, 61.32%
FITB, 66.73%
FL, 55.11%
FL, 54.11%
FL, 65.73%
FL, 62.32%
FLIR, 54.71%
FLIR, 55.11%
FLIR, 66.33%
FLIR, 61.32%
FLR, 52.30%
FLR, 60.92%
FLR, 67.94%
FLR, 62.73%
FLS, 53.71%
FLS, 52.91%
FLS, 71.74%
FLS, 64.33%
FMC, 53.51%
