EQR, 52.91%, 55.31%, 50.3%, 46.29%
EQT, 52.3%, 50.3%, 52.51%, 49.5%
ES, 54.51%, 55.51%, 56.31%, 44.89%
ESRX, 52.91%, 53.71%, 53.31%, 50.7%
ESS, 52.71%, 53.11%, 47.09%, 54.11%
ETFC, 50.5%, 57.31%, 55.31%, 45.49%
ETN, 49.5%, 52.71%, 52.3%, 49.9%
ETR, 49.7%, 49.7%, 50.5%, 51.7%
EVHC, 48.7%, 49.7%, 47.49%, 50.1%
EW, 52.51%, 55.11%, 55.71%, 44.29%
EXC, 46.49%, 55.31%, 54.71%, 54.91%
EXPD, 47.9%, 46.89%, 51.7%, 48.1%
EXPE, 47.09%, 55.51%, 50.5%, 49.7%
EXR, 44.89%, 47.7%, 44.49%, 47.09%
F, 52.91%, 48.9%, 52.1%, 49.3%
FAST, 47.29%, 53.51%, 46.89%, 49.7%
FB, 51.1%, 59.12%, 43.49%, 56.71%
FBHS, 50.9%, 46.29%, 55.31%, 57.11%
FCX, 56.51%, 49.7%, 54.51%, 46.49%
FDX, 49.7%, 43.89%, 49.3%, 48.5%
FE, 48.9%, 49.3%, 50.3%, 52.71%
FFIV, 52.91%, 56.31%, 49.3%, 46.29%
FIS, 47.49%, 42.28%, 46.89%, 45.49%
FISV, 53.71%, 54.71%, 52.1%, 44.49%
FITB, 46.49%, 47.49%, 46.69%, 50.3%
FL, 52.1%, 45.29%, 50.9%, 53.71%
FLIR, 50.7%, 51.5%, 51.3%, 49.7%
FLR, 53.91%, 53.71%, 49.7%, 47.7%
FLS, 44.89%, 50.1%, 49.9%, 52.1%
FMC, 48.7%, 48.3%, 49.1%, 49.5%
FOX, 49.7%, 49.9%, 50.7%, 52.51%
FOXA, 48.5%, 50.1%, 49.9%, 50.5%
FRT, 51.3%, 46.09%, 52.1%, 53.11%
FTI, 53.11%, 51.5%, 50.7%, 51.3%
GD, 42.48%, 55.71%, 52.51%, 47.7%
GE, 45.49%, 47.9%, 51.5%, 47.29%
GGP, 48.1%, 54.31%, 50.1%, 50.5%
GILD, 54.91%, 52.1%, 46.09%, 52.1%
GIS, 47.9%, 44.69%, 53.91%, 49.1%
GLW, 49.9%, 44.09%, 51.9%, 53.51%
GM, 46.89%, 52.71%, 49.9%, 55.91%
GOOG, 43.69%, 54.91%, 48.3%, 44.69%
GOOGL, 55.71%, 44.29%, 45.89%, 45.49%
GPC, 50.7%, 51.5%, 49.1%, 53.11%
GPN, 46.09%, 44.89%, 54.71%, 53.71%
GPS, 47.49%, 51.7%, 49.1%, 52.3%
GRMN, 47.7%, 56.51%, 52.51%, 49.1%
GS, 54.91%, 52.71%, 46.89%, 49.3%
GT, 52.91%, 51.9%, 48.9%, 48.5%
GWW, 46.89%, 42.48%, 52.91%, 54.91%
HAL, 54.71%, 49.9%, 47.49%, 49.5%
HAS, 47.49%, 47.29%, 54.31%, 47.7%
HBAN, 53.11%, 46.89%, 50.9%, 46.89%
HBI, 48.1%, 45.49%, 48.1%, 48.5%
HCA, 49.3%, 52.71%, 47.29%, 49.3%
HCP, 50.5%, 53.11%, 52.71%, 43.29%
HD, 57.92%, 57.92%, 52.1%, 44.09%
HES, 45.49%, 49.9%, 51.1%, 48.9%
HIG, 51.1%, 57.11%, 47.09%, 54.31%
HII, 54.11%, 55.51%, 43.49%, 44.49%
HLT, 47.9%, 47.29%, 49.1%, 49.9%
HOG, 54.51%, 49.5%, 50.7%, 50.5%
HOLX, 48.9%, 43.49%, 47.49%, 52.3%
HON, 43.69%, 53.51%, 46.09%, 54.51%
HP, 55.31%, 48.5%, 50.7%, 51.5%
HPQ, 50.5%, 52.91%, 51.3%, 50.1%
HRB, 48.7%, 46.69%, 45.09%, 55.91%
HRL, 50.1%, 52.3%, 46.09%, 54.71%
HRS, 54.11%, 55.71%, 56.71%, 56.11%
HSIC, 52.1%, 44.09%, 51.5%, 52.3%
HST, 53.31%, 48.5%, 49.9%, 52.91%
HSY, 48.3%, 46.09%, 49.7%, 46.29%
HUM, 51.1%, 55.31%, 45.29%, 46.29%
IBM, 52.51%, 48.5%, 50.9%, 48.9%
ICE, 53.11%, 44.49%, 45.69%, 53.71%
IDXX, 56.91%, 59.92%, 55.11%, 44.29%
IFF, 51.9%, 46.29%, 47.9%, 52.1%
ILMN, 52.91%, 56.91%, 46.49%, 52.91%
INCY, 49.1%, 45.89%, 51.5%, 50.9%
INTC, 49.9%, 54.71%, 54.51%, 47.49%
INTU, 46.29%, 44.49%, 42.69%, 56.11%
IP, 53.71%, 51.5%, 52.3%, 48.3%
IPG, 48.5%, 45.49%, 48.1%, 48.1%
IQV, 45.09%, 54.91%, 52.91%, 53.71%
IR, 47.49%, 49.7%, 49.3%, 53.71%
IRM, 54.51%, 53.51%, 46.89%, 45.29%
ISRG, 58.52%, 59.92%, 45.29%, 43.89%
IT, 45.49%, 45.69%, 55.51%, 45.09%
ITW, 45.49%, 45.09%, 54.91%, 46.49%
IVZ, 50.5%, 49.1%, 49.7%, 49.7%
JBHT, 51.3%, 45.29%, 50.5%, 52.51%
JCI, 49.1%, 48.7%, 49.5%, 49.3%
JEC, 50.3%, 50.3%, 48.7%, 50.9%
JNJ, 48.1%, 47.29%, 48.3%, 48.1%
JNPR, 46.09%, 42.48%, 54.71%, 53.51%
JPM, 46.49%, 54.51%, 45.09%, 49.3%
JWN, 50.5%, 52.51%, 51.5%, 52.71%
K, 53.31%, 51.1%, 53.51%, 49.9%
KEY, 49.3%, 49.3%, 50.5%, 52.3%
KIM, 51.9%, 51.1%, 51.7%, 51.9%
KLAC, 50.7%, 56.11%, 54.11%, 43.49%
KMB, 51.7%, 46.29%, 51.7%, 45.09%
KMI, 42.69%, 47.29%, 52.71%, 44.49%
KMX, 49.1%, 45.09%, 50.7%, 48.3%
KO, 50.5%, 46.49%, 49.5%, 51.5%
KORS, 48.7%, 43.69%, 47.7%, 47.29%
KR, 49.7%, 57.52%, 47.9%, 50.9%
KSS, 49.3%, 47.7%, 49.3%, 51.7%
KSU, 53.91%, 47.9%, 50.1%, 49.1%
L, 50.9%, 45.29%, 48.7%, 52.71%
LB, 53.51%, 46.49%, 53.11%, 53.31%
LEG, 47.29%, 52.71%, 50.3%, 43.69%
LEN, 50.5%, 49.1%, 47.7%, 48.5%
LH, 50.3%, 51.3%, 46.69%, 53.31%
LKQ, 50.1%, 53.91%, 55.51%, 47.49%
LLL, 49.9%, 57.11%, 55.31%, 47.7%
LLY, 49.5%, 45.49%, 50.9%, 47.9%
LMT, 46.69%, 41.68%, 53.51%, 45.29%
LNC, 48.1%, 55.11%, 51.5%, 53.11%
LNT, 53.31%, 54.31%, 42.69%, 41.48%
LOW, 46.29%, 45.29%, 45.09%, 54.91%
LRCX, 44.69%, 58.72%, 55.91%, 43.09%
LUV, 52.51%, 44.49%, 46.69%, 55.11%
LYB, 53.11%, 47.7%, 48.1%, 48.5%
M, 45.89%, 49.1%, 49.3%, 49.1%
MA, 44.89%, 42.69%, 55.91%, 42.69%
MAA, 48.7%, 46.49%, 52.71%, 51.5%
MAC, 50.3%, 49.5%, 52.3%, 50.3%
MAR, 53.71%, 43.49%, 49.5%, 48.1%
MAS, 49.1%, 54.11%, 52.1%, 46.09%
MAT, 43.49%, 50.9%, 47.9%, 47.29%
MCD, 53.71%, 55.91%, 53.51%, 55.31%
MCHP, 45.89%, 54.91%, 54.91%, 54.51%
MCK, 48.5%, 46.89%, 52.1%, 51.1%
MCO, 47.29%, 40.68%, 54.51%, 56.51%
MDLZ, 45.89%, 51.1%, 51.1%, 51.1%
MDT, 53.31%, 52.91%, 47.7%, 52.3%
MET, 49.3%, 44.29%, 52.51%, 49.5%
MGM, 50.7%, 53.71%, 52.1%, 50.1%
MHK, 49.7%, 46.49%, 54.51%, 55.51%
MKC, 47.9%, 56.31%, 46.29%, 57.31%
MLM, 49.7%, 49.5%, 51.5%, 52.51%
MMC, 47.49%, 55.11%, 53.71%, 46.29%
MMM, 50.7%, 43.49%, 49.1%, 46.69%
